Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,In Use REPLICA,LOAD
mRUBiS #3,Comment Item Filter,CF3,-1.8189894035458565E-12,14668.26869747379,20.0,1.63,2,0.5,21.0,1,1,1.2006864386847846,HwRedeployComponent,17.47651852602457,68.11678353023225,18.0,295.0,
mRUBiS #6,User Management Service,CF3,0.0,0.0,18.0,1.6899999999999997,4,1.0,20.0,0,4,1.1141798699209482,ReplaceComponent,11.239572370165146,96.44264815001367,10.0,223.0,
mRUBiS #10,Bid and Buy Service,CF3,0.0,0.0,24.0,1.7199999999999998,5,1.0,14.0,0,5,1.214772905632666,ReplaceComponent,7.861900099926484,137.2251718332289,4.0,135.0,
mRUBiS #4,Item Management Service,CF3,0.0,5567.6201483770365,19.0,1.6899999999999997,4,0.5,21.0,0,4,1.1956168392248292,HwRedeployComponent,5.593560217312566,72.64136802441237,22.0,398.0,
mRUBiS #1,User Management Service,CF3,0.0,0.0,18.0,1.6899999999999997,4,1.0,20.0,0,4,1.2198870477433439,ReplaceComponent,11.239572370165146,96.44264815001367,5.0,120.0,

